date,listeners,streams,followers
2022-08-16,11986,15999,302
2022-08-17,12800,17461,302
2022-08-18,11888,16243,302
2022-08-19,12006,16547,302
2022-08-20,12804,17026,302
2022-08-21,11399,15023,303
2022-08-22,11668,15734,303
2022-08-23,12106,16456,303
2022-08-24,11349,15564,303
2022-08-25,11554,15736,304
2022-08-26,11444,15847,304
2022-08-27,11784,16072,305
2022-08-28,10214,13690,305
2022-08-29,10611,14594,305
2022-08-30,10808,14927,306
2022-08-31,10909,15601,307
2022-09-01,10905,15079,307
2022-09-02,11566,16664,323
2022-09-03,11268,15461,342
2022-09-04,9650,13291,353
2022-09-05,10246,14447,353
2022-09-06,10416,14410,354
2022-09-07,10347,14508,354
2022-09-08,10225,14212,354
2022-09-09,10949,15570,355
2022-09-10,11173,15258,355
2022-09-11,9414,12631,355
2022-09-12,9665,13781,361
2022-09-13,9978,13893,374
2022-09-14,9647,13532,392
2022-09-15,9767,13988,408
2022-09-16,10097,14396,411
2022-09-17,9668,13287,412
2022-09-18,8380,11366,412
2022-09-19,8509,11806,414
2022-09-20,8907,12499,397
2022-09-21,9053,12669,391
2022-09-22,9073,12885,415
2022-09-23,9509,13590,440
2022-09-24,9052,12699,477
2022-09-25,7345,10321,507
2022-09-26,7871,11358,517
2022-09-27,8533,12396,526
2022-09-28,8671,12446,535
2022-09-29,8691,12550,544
2022-09-30,9355,13567,549
2022-10-01,9576,13366,553
2022-10-02,7436,10575,556
2022-10-03,8287,11767,566
2022-10-04,8240,11832,573
2022-10-05,8792,12512,585
2022-10-06,8866,12730,596
2022-10-07,8812,13069,619
2022-10-08,8791,12390,631
2022-10-09,6998,10059,627
2022-10-10,7505,11030,609
2022-10-11,8126,11687,586
2022-10-12,8045,11694,557
2022-10-13,8206,11671,551
2022-10-14,8741,12801,553
2022-10-15,8529,12078,553
2022-10-16,6841,9518,553
2022-10-17,7080,10216,554
2022-10-18,7630,11282,556
2022-10-19,8057,11702,557
2022-10-20,8070,11868,558
2022-10-21,8534,12583,546
2022-10-22,8291,11902,535
2022-10-23,6470,9271,528
2022-10-24,7254,10662,515
2022-10-25,7778,11357,508
2022-10-26,7409,11220,508
2022-10-27,7726,11399,508
2022-10-28,8088,12225,510
2022-10-29,8096,11850,510
2022-10-30,6609,9548,510
2022-10-31,7376,10760,510
2022-11-01,6247,9011,508
2022-11-02,6913,10637,508
2022-11-03,7170,10618,509
2022-11-04,7724,11702,511
2022-11-05,7280,10604,511
2022-11-06,5831,8565,511
2022-11-07,6690,9976,510
2022-11-08,6909,10327,510
2022-11-09,6950,10445,508
2022-11-10,7202,11118,508
2022-11-11,7523,11419,510
2022-11-12,7264,10798,511
2022-11-13,5793,8504,511
2022-11-14,6194,9282,510
2022-11-15,6227,9539,510
2022-11-16,6348,9776,510
2022-11-17,6737,10037,512
2022-11-18,6810,10313,512
2022-11-19,6500,9410,513
2022-11-20,5290,7735,513
2022-11-21,6087,9163,514
2022-11-22,6003,9080,515
2022-11-23,6184,9146,515
2022-11-24,6341,9567,516
2022-11-25,6596,9824,518
2022-11-26,6431,9392,519
2022-11-27,5368,7919,518
2022-11-28,5647,8254,520
2022-11-29,5887,8882,520
2022-11-30,6177,8952,521
2022-12-01,6217,9251,524
2022-12-02,6528,9731,526
2022-12-03,6189,9189,526
2022-12-04,5085,7216,529
2022-12-05,5520,8015,533
2022-12-06,5767,8655,533
2022-12-07,6341,9418,534
2022-12-08,5334,7746,534
2022-12-09,5602,8247,533
2022-12-10,5650,8143,534
2022-12-11,4925,6968,534
2022-12-12,5296,7622,535
2022-12-13,5396,7875,535
2022-12-14,5569,8239,535
2022-12-15,5376,8246,535
2022-12-16,5774,8545,536
2022-12-17,5784,8302,536
2022-12-18,4333,6162,535
2022-12-19,5334,7670,535
2022-12-20,5612,8228,535
2022-12-21,5668,8189,536
2022-12-22,5813,8579,536
2022-12-23,5882,8662,538
2022-12-24,4805,6749,538
2022-12-25,3451,4774,538
2022-12-26,4245,5926,538
2022-12-27,5208,7559,538
2022-12-28,5252,7659,538
2022-12-29,5444,7937,539
2022-12-30,5503,8125,539
2022-12-31,5714,7966,539
2023-01-01,3743,5094,539
2023-01-02,5236,7617,539
2023-01-03,5410,8017,539
2023-01-04,5453,7919,539
2023-01-05,5739,8408,539
2023-01-06,5229,7565,540
2023-01-07,5551,8148,540
2023-01-08,4653,6778,541
2023-01-09,5359,7771,542
2023-01-10,5569,8305,542
2023-01-11,5860,8967,543
2023-01-12,6124,8967,545
2023-01-13,6439,9408,545
2023-01-14,6255,9016,545
2023-01-15,5299,7564,546
2023-01-16,5925,8718,546
2023-01-17,6307,9360,546
2023-01-18,6346,9495,546
2023-01-19,6355,9277,547
2023-01-20,6622,9923,549
2023-01-21,6416,9271,549
2023-01-22,5273,7648,549
2023-01-23,5868,8565,550
2023-01-24,6260,9298,551
2023-01-25,6567,9670,552
2023-01-26,6500,9781,556
2023-01-27,6749,9952,558
2023-01-28,6488,9525,559
2023-01-29,5409,7757,562
2023-01-30,6193,9000,562
2023-01-31,6441,9573,562
2023-02-01,6497,9625,564
2023-02-02,6730,10039,565
2023-02-03,6997,10651,566
2023-02-04,6767,10153,568
2023-02-05,5365,7773,568
2023-02-06,6044,8958,568
2023-02-07,6359,9447,568
2023-02-08,6311,9223,569
2023-02-09,6004,8850,571
2023-02-10,6266,9353,571
2023-02-11,6012,8716,572
2023-02-12,4928,7159,572
2023-02-13,5936,8655,572
2023-02-14,6269,9587,572
2023-02-15,6447,9353,572
2023-02-16,6382,9581,572
2023-02-17,6650,9884,572
2023-02-18,6344,9336,568
2023-02-19,5295,7646,565
2023-02-20,6066,9005,565
2023-02-21,6092,9132,565
2023-02-22,6196,9282,565
2023-02-23,6133,9321,567
2023-02-24,6516,10073,567
2023-02-25,6196,9449,567
2023-02-26,5267,7574,569
2023-02-27,5796,8633,570
2023-02-28,5985,9080,570
2023-03-01,6271,9542,570
2023-03-02,6215,9472,571
2023-03-03,6360,9716,571
2023-03-04,6431,9571,571
2023-03-05,5478,7963,573
2023-03-06,6001,8861,574
2023-03-07,6125,9190,574
2023-03-08,6298,9567,574
2023-03-09,6312,9537,575
2023-03-10,6587,10170,575
2023-03-11,6602,9828,575
2023-03-12,5624,8175,576
2023-03-13,6033,8862,576
2023-03-14,6214,9430,576
2023-03-15,6406,9724,576
2023-03-16,6580,10000,578
2023-03-17,7002,10777,578
2023-03-18,6809,10069,578
2023-03-19,5694,8382,579
2023-03-20,6131,8958,580
2023-03-21,6490,9689,580
2023-03-22,6765,10108,580
2023-03-23,6732,10329,579
2023-03-24,6828,10585,579
2023-03-25,6977,10640,579
2023-03-26,5688,8500,579
2023-03-27,6213,9483,581
2023-03-28,6522,10024,581
2023-03-29,6791,10250,581
2023-03-30,6715,10071,582
2023-03-31,6995,10572,582
2023-04-01,7074,10427,583
2023-04-02,5816,8428,583
2023-04-03,6353,9249,584
2023-04-04,6671,9998,584
2023-04-05,6888,10478,584
2023-04-06,7276,11012,585
2023-04-07,7182,10946,585
2023-04-08,6935,10266,585
2023-04-09,5712,8290,587
2023-04-10,7037,11538,589
2023-04-11,6632,11151,590
2023-04-12,6834,10964,590
2023-04-13,7016,10746,592
2023-04-14,7449,11179,592
2023-04-15,7405,10971,592
2023-04-16,6461,9274,592
2023-04-17,7015,10096,608
2023-04-18,7295,10780,624
2023-04-19,7356,10726,675
2023-04-20,7391,10978,730
2023-04-21,7909,12075,750
2023-04-22,8188,12031,751
2023-04-23,7074,10369,755
2023-04-24,7450,11113,756
2023-04-25,7186,10706,757
2023-04-26,6803,10543,758
2023-04-27,7128,11007,760
2023-04-28,7434,12007,761
2023-04-29,7817,12010,761
2023-04-30,6747,10146,761
2023-05-01,6700,9920,762
2023-05-02,7101,10780,763
2023-05-03,7378,11469,770
2023-05-04,7929,12167,775
2023-05-05,8296,12945,779
2023-05-06,8644,13065,793
2023-05-07,7308,11027,802
2023-05-08,7366,11357,810
2023-05-09,7623,11722,813
2023-05-10,7526,11765,813
2023-05-11,7778,12183,813
2023-05-12,8415,13012,813
2023-05-13,8342,12881,812
2023-05-14,6814,10338,812
2023-05-15,7442,11325,811
2023-05-16,7268,11361,811
2023-05-17,7584,12001,812
